,Date,screen_linearity_hor,screen_linearity_ver
0,2023-04-03 13:07:32,0.2695250000000442,0.20097499999997126
1,2023-05-13 08:25:32,0.22917499999994106,0.14175000000000182
2,2023-06-02 23:43:23,0.2074000000001206,0.1479500000000371
3,2023-07-08 11:38:49,0.29797499999995125,0.37382500000001073
4,2023-08-04 23:13:08,0.22002500000007785,0.2397000000000844
5,2023-09-08 22:32:41,0.22897499999987758,0.2716249999998581
6,2023-10-05 12:30:57,0.21699999999998454,0.15715000000011514
7,2023-11-04 04:27:21,1.1927749999999833,0.9342750000000706
8,2023-11-06 08:27:10,1.505100000000084,1.1155249999999342
9,2023-11-06 08:41:47,1.3970250000002125,1.1378499999999576
10,2023-11-06 12:08:12,1.3748749999999745,0.9750499999998965
11,2023-11-06 14:05:06,1.3482000000000198,0.9336749999999938
12,2023-11-16 00:17:49,0.29092500000012933,0.1586499999998523
13,2023-12-02 12:30:56,0.1644499999998743,0.09882500000003347
14,2024-01-05 15:37:36,0.18105000000014115,0.24939999999992324
