,Date,xy_scan_difference_center_hor,xy_scan_difference_center_ver,xy_scan_difference_global_hor,xy_scan_difference_global_ver
0,2023-04-06 06:26:41,-0.02627777777779272,0.06808333333333394,0.36086111111109176,0.22777777777771746
1,2023-04-07 14:36:22,0.03169444444444025,0.03411111111118714,0.3146111111111054,0.2400555555555428
2,2023-04-14 23:08:39,-0.026111111111163154,0.04836111111110597,0.3364444444444956,0.28438888888889835
3,2023-04-21 22:13:41,-0.059138888888881525,-0.03930555555552928,0.36986111111114894,0.3158333333333587
4,2023-04-28 23:17:04,-0.08916666666664241,-0.019305555555604315,0.32466666666665844,0.34122222222225673
5,2023-05-13 06:26:09,0.00024999999997987743,0.05616666666671222,0.24522222222219625,0.17024999999996737
6,2023-05-19 20:31:08,-0.07791666666663843,-0.08466666666664935,0.30872222222222945,0.39286111111113087
7,2023-05-29 15:49:38,0.09308333333329699,0.08738888888885299,0.3840277777777743,0.22438888888886765
8,2023-06-02 21:44:50,0.018333333333387714,0.0011111111110864158,0.3434166666666272,0.28438888888886993
9,2023-06-09 23:31:59,-0.03380555555551723,0.0018888888888568545,0.2294166666666939,0.2486111111110887
10,2023-06-16 22:51:46,-0.07736111111113075,-0.017111111111063337,0.34547222222217044,0.3380277777777394
11,2023-06-23 19:48:24,-0.05138888888889426,0.014499999999998181,0.37244444444448277,0.39408333333332735
12,2023-06-30 21:10:42,-0.05619444444445776,0.032944444444467536,0.37422222222224377,0.3442500000000024
13,2023-07-08 10:30:24,-0.08266666666665401,-0.014888888888876295,0.35199999999996123,0.3458611111111054
14,2023-07-17 11:50:42,-0.09077777777775964,-0.012638888888886868,0.38727777777781114,0.42952777777773576
15,2023-07-22 16:03:40,-0.0698055555555186,-0.022555555555527462,0.4450833333333293,0.4233611111111202
16,2023-07-27 23:30:06,-0.11383333333333212,-0.014083333333331893,0.33894444444447913,0.3545555555555069
17,2023-08-04 21:02:03,-0.08955555555553474,0.01686111111108346,0.2348333333332846,0.2110277777778009
18,2023-08-09 19:21:55,-0.09074999999998568,-0.014000000000052637,0.21886111111108164,0.2372222222222149
19,2023-08-19 10:12:53,-0.04233333333338862,0.05066666666662911,0.34025000000004013,0.3011111111110836
20,2023-08-25 21:26:29,-0.030750000000054456,0.029083333333346673,0.31011111111115497,0.2661944444444373
21,2023-08-31 15:43:52,-0.06352777777779295,-0.002333333333311316,0.370083333333298,0.34275000000005207
22,2023-09-08 21:25:05,-0.01119444444441342,-0.025166666666649462,0.3732777777777301,0.3466111111111019
23,2023-09-15 22:52:32,-0.01222222222220637,0.04588888888891063,0.30274999999996055,0.26955555555555577
24,2023-09-22 10:37:25,-0.09272222222222126,-0.008722222222203868,0.3144444444444616,0.31741666666667356
25,2023-10-04 20:13:24,0.04505555555556384,0.13938888888888812,0.4103333333333552,0.27038888888891677
26,2023-10-13 12:05:42,-0.01486111111107391,0.04847222222221603,0.4529444444444408,0.28830555555560977
27,2023-10-20 12:13:44,-0.05622222222223172,0.0667222222222108,0.4810555555555567,0.32630555555556384
28,2023-10-27 11:12:40,-0.025527777777824667,0.05002777777781375,0.506194444444418,0.3623888888888729
29,2023-11-04 03:17:29,-0.03822222222220262,0.0383333333333411,0.49299999999993815,0.3446388888888663
30,2023-11-11 21:36:06,0.005222222222229789,0.12099999999993827,0.42225000000000534,0.22986111111114838
31,2023-11-15 23:08:48,0.015499999999974534,0.10966666666665503,0.4391944444444107,0.20330555555554497
32,2023-11-18 10:32:16,-0.05166666666673336,0.017305555555594765,0.3612499999999983,0.32666666666663957
33,2023-11-25 03:09:23,-0.02899999999993952,0.05883333333329688,0.32122222222217545,0.22505555555558487
34,2023-12-02 11:24:01,-0.03877777777775293,0.024750000000040018,0.43050000000003763,0.38324999999998965
35,2023-12-08 21:30:30,-0.07122222222223229,-0.026999999999986812,0.173333333333332,0.23066666666666436
36,2023-12-15 21:34:55,-0.10591666666671529,0.050694444444388864,0.3208611111110997,0.30888888888888744
37,2023-12-23 21:19:32,-0.08088888888885037,-0.043694444444426495,0.3022500000000008,0.333333333333357
38,2023-12-29 09:24:40,-0.097666666666683,-0.05641666666660683,0.2876666666666665,0.37852777777776225
39,2024-01-05 14:30:09,-0.10272222222224059,-0.013166666666677429,0.30936111111113007,0.383944444444424
40,2024-01-12 15:31:25,-0.07022222222225594,0.004722222222227401,0.3498333333333363,0.3883611111111094
